District,front setback,side setback,rear setback,height,stories,FAR by right,max lot coverage,min open space,lot area,max DUA,lot frontage
RA1,"40","20","40","35","2.5",,"0.2",,"20000",,"100"
RA2,"40","20","40","35","2.5",,"0.2",,"15000",,"80"
RA3,"25","15","30","35","2.5",,"0.25",,"9600",,"70"
RA4,"25","15","30","35","2.5",,"0.25",,"7000",,"60"
RB,"15","10","30","40","3",,"0.3",,"6000",,"60"
RC,"10","10","20","40","3","0.2","0.3","0.15","6000","6","50"
RD,"75","45","60","50","4","0.2","0.3","0.15","217800","6","50"
HR1,"10","10","10","74","6","1.8","0.75",,"10000","59","50"
HR2,"10","10","20","74","6","0.01","0.75",,"10000","3","50"
BA,"10","0","15","36","3","0.2","0.3","0.15","6000","6","50"
BB,"0","0","25","48","4","0.25","0.35","0.15","6000","10","50"
BC,"0","0","25","65","5","1","0.9",,,"30","40"
LC,"150","100","100","40","3","0.25","0.3","0.25","217800",,"400"
C,"10","15","25","80","8","0.4",,,"10000",,"50"
I,"10","15","25","80","8","0.4",,,"0",,"50"
CR,"100","100","100","20","1","0.05","0.05","0.1","174240","0","100"
